TimeStamp,L,zL,C_CO2,ustar,Tsonic,q,sd_C_CO2,F_CO2,Q_E,Q_H
2018-01-10 18:30:00,-92.643,-0.0313,0.00066,0.0635,285.0,,1.18e-05,-4.138,,0.3475
2018-01-10 19:00:00,-311.53,-0.00931,0.000684,0.0572,284.0,,2.19e-05,0.258,,0.0745
2018-01-10 19:30:00,3.157,0.91873,0.000687,0.0268,284.0,,2.23e-05,0.444,,-0.7579
2018-01-10 20:00:00,6.194,0.46821,0.000775,0.0345,283.0,,5.9e-05,-4.478,,-0.819
2018-01-10 20:30:00,7.36,0.39402,0.000833,0.0404,283.0,,2.13e-05,3.904,,-1.1039
2018-01-10 21:00:00,4.53,0.64024,0.000854,0.0516,282.0,,1.39e-05,1.132,,-3.7431
2018-01-10 21:30:00,-4.557,-0.63641,0.000876,0.0337,281.0,,3.1e-05,0.934,,1.0224
2018-01-10 22:00:00,-7.374,-0.39327,,0.056,280.0,,,,,2.8702
2018-01-10 22:30:00,-0.524,-5.53283,,0.0213,279.0,,,,,2.1941
2018-01-10 23:00:00,8.284,0.35009,,0.0403,278.0,,,,,-0.9427
2018-01-10 23:30:00,42.169,0.06877,,0.1459,277.0,,,,,-8.7266
2018-01-11 00:00:00,17.473,0.16597,,0.0911,277.0,,,,,-5.1421
2018-01-11 00:30:00,-29.62,-0.09791,,0.0898,277.0,,,,,2.899
2018-01-11 01:00:00,11.65,0.24884,,0.0671,277.0,,,,,-3.088
2018-01-11 01:30:00,55.47,0.05228,,0.0599,277.0,,,,,-0.461
2018-01-11 02:00:00,37.7,0.07693,0.000802,0.0458,276.0,,8.51e-06,2.6241,,-0.303
2018-01-11 02:30:00,4.19,0.69169,0.000814,0.0465,276.0,,9.89e-06,2.54815,,-2.871
2018-01-11 03:00:00,26.19,0.11074,0.000801,0.0826,276.0,,1.03e-05,3.20731,,-2.587
2018-01-11 03:30:00,7.58,0.38272,0.000793,0.0605,276.0,,2.06e-06,0.80045,,-3.533
2018-01-11 04:00:00,-3.64,-0.79758,0.000791,0.0279,276.0,,3.36e-06,-0.22537,,0.717
2018-01-11 04:30:00,3.22,0.89989,,0.0282,276.0,,,,,-0.826
2018-01-11 05:00:00,2.13,1.36059,,0.0653,276.0,,,,,-15.555
2018-01-11 05:30:00,-9.4,-0.30859,,0.0839,276.0,,,,,7.486
2018-01-11 06:00:00,4.62,0.62819,,0.0547,276.0,,,,,-4.18
2018-01-11 06:30:00,1.96,1.47687,,0.0563,275.0,,,,,-10.621
2018-01-11 07:00:00,4.67,0.62146,,0.0665,275.0,,,,,-7.47
2018-01-11 07:30:00,26.74,0.10845,,0.0995,277.0,,,,,-4.496
2018-01-11 08:00:00,12.68,0.22873,0.000797,0.1333,277.0,,5.98e-06,8.89887,,-23.597
2018-01-11 08:30:00,13.5,0.21484,0.000831,0.1278,277.0,,1.27e-05,-1.85433,,-19.701
2018-01-11 09:00:00,35.23,0.08233,0.000863,0.0988,277.0,,6.97e-06,-2.33262,,-3.45
2018-01-11 09:30:00,23.75,0.12212,0.000887,0.1504,278.0,,8.96e-06,-6.71506,,-18.252
2018-01-11 10:00:00,1.15,2.51224,0.000906,0.0594,279.0,,1.16e-05,-14.04762,,-23.606
2018-01-11 10:30:00,103.89,0.02791,0.000961,0.2299,279.0,,1.15e-05,33.07409,,-15.326
2018-01-11 11:00:00,121.5,0.02387,,0.2343,281.0,,,,,-13.96
2018-01-11 11:30:00,-94.65,-0.03064,0.000657,0.1978,281.0,,5.71e-06,11.24047,,10.893
2018-01-11 12:00:00,-21.54,-0.13461,0.000614,0.1568,281.0,,8.88e-06,-0.09385,,23.901
2018-01-11 12:30:00,49.02,0.05916,0.000602,0.1242,282.0,0.00551,2.28e-06,-2.6979,21.73735,-5.271
2018-01-11 13:00:00,-47.91,-0.06053,0.000597,0.1799,283.0,0.00556,1.65e-06,-4.76373,20.39867,16.466
2018-01-11 13:30:00,65.04,0.04459,0.000599,0.2704,284.0,0.00553,2.59e-06,-7.05012,7.00706,-40.958
2018-01-11 14:00:00,-271.4,-0.01069,0.000597,0.2936,285.0,0.00556,1.81e-06,-4.35281,16.97508,12.587
2018-01-11 14:30:00,434.97,0.00667,0.000599,0.0762,286.0,0.00561,3.47e-06,-2.1968,1.77296,-0.138
2018-01-11 15:00:00,-184.84,-0.01569,0.000603,0.1138,286.0,0.00561,1.87e-06,0.12761,1.51197,1.078
2018-01-11 15:30:00,86.74,0.03344,0.000603,0.1477,287.0,0.00554,2.36e-06,-1.14913,1.36482,-4.997
2018-01-11 16:00:00,148.66,0.01951,0.000605,0.1889,287.0,0.00548,1.53e-06,0.99733,-1.24253,-6.071
2018-01-11 16:30:00,215.62,0.01345,0.000606,0.1772,287.0,0.00544,1.3e-06,-0.00656,0.64185,-3.442
2018-01-11 17:00:00,225.85,0.01284,0.000606,0.2063,287.0,0.00542,1.43e-06,1.19128,-1.99032,-5.183
2018-01-11 17:30:00,98.25,0.02952,0.000604,0.2093,287.0,0.00539,2.47e-06,1.0792,7.55637,-12.408
2018-01-11 18:00:00,172.79,0.01678,0.000604,0.1566,287.0,0.00535,2.03e-06,-0.26831,5.4327,-2.944
2018-01-11 18:30:00,65.79,0.04408,0.000606,0.151,287.0,0.00537,2.39e-06,0.98221,-0.76416,-6.946
2018-01-11 19:00:00,96.04,0.0302,0.000602,0.2288,287.0,0.00533,1.85e-06,0.32673,-4.24979,-16.496
2018-01-11 19:30:00,96.55,0.03004,0.0006,0.1806,287.0,0.00528,1.31e-06,0.67877,-1.45657,-8.042
2018-01-11 20:00:00,45.84,0.06326,0.000602,0.1239,287.0,0.00526,1.98e-06,0.1133,-0.00205,-5.456
2018-01-11 20:30:00,9.05,0.3206,0.000603,0.0827,287.0,0.00526,1.91e-06,1.76918,-0.15277,-8.23
2018-01-11 21:00:00,13.18,0.21996,0.0006,0.0815,287.0,0.00524,2.6e-06,0.76637,-0.83904,-5.394
2018-01-11 21:30:00,29.28,0.09905,0.000599,0.1219,287.0,0.00521,1.91e-06,1.63016,-1.98904,-8.104
2018-01-11 22:00:00,30.93,0.09377,0.000602,0.1146,287.0,0.00522,2.82e-06,2.66934,-7.3673,-6.38
