TimeStamp,L,zL,C_CO2,ustar,Tsonic,q,sd_C_CO2,F_CO2,Q_E,Q_H
timestamp,m,dimensionless,mmol.m-3,m.s-1,Celsius,kg.kg-1,mmol.m-3,umol.m-2.s-1,W.m-2,W.m-2
2018-01-10 00:30:00,69.64,0.04164,0.000596,0.1694,287.0,,1.32e-05,-16.193,,-10.2751
2018-01-10 01:00:00,228.611,0.01269,0.000584,0.2389,287.0,,9.96e-06,-3.949,,-8.8261
2018-01-10 01:30:00,-436.968,-0.00664,0.000585,0.2719,287.0,,1.07e-05,-43.061,,6.8205
2018-01-10 02:00:00,36.574,0.07929,0.000848,0.2521,285.0,,2.03e-05,143.911,,-65.1174
2018-01-10 02:30:00,603.227,0.00481,0.000888,0.2026,284.0,,1.3e-05,-0.847,,-2.0574
2018-01-10 03:00:00,117.455,0.02469,0.001073,0.095,284.0,,1.53e-05,-9.893,,-1.0873
2018-01-10 03:30:00,,,,,,,,,,
2018-01-10 04:00:00,,,,,,,,,,
2018-01-10 04:30:00,294.411,0.00985,0.000976,0.3665,284.0,,9.2e-06,-29.332,,-24.9332
2018-01-10 05:00:00,100.799,0.02877,0.001214,0.2726,284.0,,4.97e-05,91.667,,-28.6593
2018-01-10 05:30:00,52.725,0.055,,0.2103,284.0,,,,,-24.763
2018-01-10 06:00:00,54.833,0.05289,0.000579,0.2029,284.0,,1.4e-05,-3.488,,-21.1717
2018-01-10 06:30:00,124.462,0.0233,0.000568,0.2022,285.0,0.00603,1.93e-06,-0.166,0.267,-9.2303
2018-01-10 07:00:00,229.737,0.01262,0.00057,0.2452,286.0,0.00615,1.81e-06,1.345,-5.143,-9.0029
2018-01-10 07:30:00,25.156,0.11528,0.000573,0.1916,286.0,,2.88e-06,-3.478,,-38.461
2018-01-10 08:00:00,247.742,0.01171,0.000573,0.2302,285.0,,4.44e-06,3.558,,-6.7162
2018-01-10 08:30:00,78.558,0.03692,0.000577,0.2163,286.0,,3.73e-06,2.725,,-17.4441
2018-01-10 09:00:00,21.385,0.13561,0.00058,0.1588,285.0,0.00566,2.26e-06,1.655,-11.221,-25.1143
2018-01-10 09:30:00,4.172,0.69515,0.000582,0.1095,285.0,,2.47e-06,4.045,,-42.2307
2018-01-10 10:00:00,39.734,0.07299,0.00057,0.184,285.0,,5.15e-06,-4.257,,-21.2305
2018-01-10 10:30:00,-84.984,-0.03412,0.000564,0.2225,285.0,0.00587,1.58e-06,-2.359,18.344,17.7509
2018-01-10 11:00:00,-55.928,-0.05185,0.000562,0.1857,286.0,0.00586,1.98e-06,-4.708,8.169,15.669
2018-01-10 11:30:00,28.465,0.10188,0.000562,0.149,287.0,0.00594,3.57e-06,-7.348,10.704,-16.028
2018-01-10 12:00:00,-143.101,-0.02027,0.000559,0.1693,287.0,0.00585,3e-06,-6.233,13.562,4.6284
2018-01-10 12:30:00,-5.416,-0.5355,0.000559,0.1292,287.0,0.00586,4.52e-06,-4.695,-0.745,54.5626
2018-01-10 13:00:00,-10.965,-0.26448,0.000555,0.1143,286.0,0.00591,2.57e-06,-3.717,11.303,18.7295
2018-01-10 13:30:00,-32.416,-0.08946,0.000556,0.1733,286.0,0.00594,3.99e-06,-7.371,23.288,22.213
2018-01-10 14:00:00,-144.263,-0.0201,0.000556,0.2751,287.0,0.00587,2.49e-06,-6.096,13.157,19.7871
2018-01-10 14:30:00,22.207,0.13059,0.000559,0.1495,288.0,0.00575,2.99e-06,-2.793,11.724,-20.3697
2018-01-10 15:00:00,22.278,0.13017,0.000563,0.1303,288.0,0.00566,2.33e-06,-1.263,-4.171,-13.307
2018-01-10 15:30:00,19.367,0.14974,0.000566,0.0511,287.0,0.00574,2.67e-06,-0.591,-2.659,-0.9321
2018-01-10 16:00:00,-5.851,-0.49565,0.000579,0.0861,288.0,,4.97e-06,3.67,,14.5665
2018-01-10 16:30:00,13.323,0.21766,0.000601,0.0469,288.0,,1.08e-05,0.604,,-1.0165
2018-01-10 17:00:00,86.756,0.03343,0.000612,0.0359,287.0,,1.7e-05,1.326,,-0.0685
2018-01-10 17:30:00,105.516,0.02748,0.000611,0.0518,287.0,,1.17e-05,2.942,,-0.1688
2018-01-10 18:00:00,-4.733,-0.61272,,0.0496,287.0,,,,,3.286
