TimeStamp,L,C_CO2,ustar,sd_C_CO2,F_CO2,Q_E,Q_H
timestamp,m,mmol.m-3,m.s-1,mmol.m-3,umol.m-2.s-1,W.m-2,W.m-2
2018-04-01 00:30:00,604.207,0.000582,0.3823,9.57e-07,1.1499,1.19,-11.19
2018-04-01 01:00:00,347.893,0.000583,0.3059,1.07e-06,1.0773,2.31,-9.88
2018-04-01 01:30:00,192.637,0.000583,0.3463,9.32e-07,0.5505,6.09,-25.71
2018-04-01 02:00:00,388.474,0.000583,0.3393,8.6e-07,1.2712,3.64,-11.93
2018-04-01 02:30:00,235.571,0.000583,0.2124,1.14e-06,0.0922,1.3,-4.83
2018-04-01 03:00:00,178.961,0.000585,0.2368,1.04e-06,0.5862,1.83,-8.81
2018-04-01 03:30:00,126.376,0.000585,0.2577,9.32e-07,1.5086,4.06,-16.09
2018-04-01 04:00:00,155.765,0.000584,0.2557,9.57e-07,0.6171,3.46,-12.74
2018-04-01 04:30:00,206.609,0.000584,0.2334,9.85e-07,1.9353,5.29,-7.29
2018-04-01 05:00:00,88.652,0.000585,0.181,1.07e-06,1.0772,2.8,-7.94
2018-04-01 05:30:00,24.961,0.000586,0.169,1.49e-06,-1.4988,2.15,-22.96
2018-04-01 06:00:00,267.626,0.000586,0.2112,1.34e-06,1.7651,3.62,-4.18
2018-04-01 06:30:00,52.876,0.000587,0.1071,1.26e-06,0.7557,1.73,-2.76
2018-04-01 07:00:00,200.227,0.000584,0.1414,1.24e-06,-0.7018,8.36,-1.68
2018-04-01 07:30:00,-187.478,0.000582,0.2319,9.84e-07,-1.9584,17.62,7.93
2018-04-01 08:00:00,-0.143,0.00058,0.0337,1.84e-06,-2.4733,16.19,31.94
2018-04-01 08:30:00,-107.364,0.000576,0.3181,2.53e-06,-8.9057,36.43,35.65
2018-04-01 09:00:00,-7.443,0.000572,0.1505,3.63e-06,-11.2279,65.87,54.37
2018-04-01 09:30:00,-21.239,0.00057,0.2341,3.69e-06,-9.9267,55.95,71.8
2018-04-01 10:00:00,-21.879,0.000572,0.1722,2.77e-06,-8.7372,42.51,27.68
