TimeStamp,WS,L,zL,C_CO2,ustar,Tsonic,q,sd_C_CO2,F_CO2,Q_E,Q_H
timestamp,m.s-1,m,dimensionless,mmol.m-3,m.s-1,Celsius,kg.kg-1,mmol.m-3,umol.m-2.s-1,W.m-2,W.m-2
2018-10-01 00:30:00,,,,,,,,,,,
2018-10-01 01:00:00,,,,,,,,,,,
2018-10-01 01:30:00,1.575,73.4,0.0395,0.000567,0.253,287.0,0.00526,1.09e-06,1.288,0.798,-29.0862
2018-10-01 02:00:00,0.92,74.6,0.0389,0.000569,0.2692,287.0,0.00525,1.17e-06,0.59,-3.689,-34.4443
2018-10-01 02:30:00,1.184,45.4,0.0639,0.000569,0.2133,287.0,0.00524,1.56e-06,2.5247,-2.993,-28.1288
2018-10-01 03:00:00,1.004,54.3,0.0534,0.000572,0.2615,287.0,0.00524,1.7e-06,1.9692,1.579,-43.2977
2018-10-01 03:30:00,1.265,24.7,0.118,0.000575,0.1909,287.0,0.00529,1.41e-06,1.9393,-3.485,-37.2827
2018-10-01 04:00:00,1.131,162.0,0.0179,0.000576,0.2715,286.0,0.00531,1.51e-06,1.3496,10.752,-16.3802
2018-10-01 04:30:00,0.788,25.6,0.113,0.000581,0.1522,286.0,0.00533,2.1e-06,1.7608,-7.815,-18.2826
2018-10-01 05:00:00,1.168,60.7,0.0477,0.00058,0.2652,286.0,0.00543,1.85e-06,3.7061,-12.105,-41.095
2018-10-01 05:30:00,1.43,-302.0,-0.00959,0.000583,0.2784,286.0,0.00543,2.32e-06,-2.4687,25.512,9.5559
2018-10-01 06:00:00,1.426,133.0,0.0219,0.000583,0.2975,286.0,0.00544,1.38e-06,0.2479,-0.528,-26.6191
2018-10-01 06:30:00,1.523,-1160.0,-0.0025,0.000586,0.4249,286.0,0.0054,2.17e-06,-4.0163,28.718,8.8459
2018-10-01 07:00:00,1.352,482.0,0.00602,0.000583,0.1769,286.0,,2.98e-06,2.2149,,-1.5406
2018-10-01 07:30:00,1.515,-109000.0,-2.66e-05,0.000576,0.3142,285.0,0.00545,1.43e-06,-3.4442,18.518,0.0384
