TimeStamp,WS,L,zL,C_CO2,ustar,Tsonic,q,sd_C_CO2,F_CO2,Q_E,Q_H
timestamp,m.s-1,m,dimensionless,mmol.m-3,m.s-1,Celsius,kg.kg-1,mmol.m-3,umol.m-2.s-1,W.m-2,W.m-2
2018-01-01 00:30:00,3.121,115.3,0.025162,0.000562,0.4002,288.0,0.00507,1.18e-06,-1.1648,-3.9303,-70.13
2018-01-01 01:00:00,3.017,62.0,0.046779,0.000563,0.2773,288.0,0.00493,1.21e-06,0.4232,-2.5736,-42.91
2018-01-01 01:30:00,3.056,194.7,0.014897,0.000566,0.4834,287.0,0.00494,3.69e-06,3.0581,-2.6173,-72.43
2018-01-01 02:00:00,3.272,296.9,0.009768,0.000571,0.4048,287.0,,1.05e-05,-6.1403,,-28.23
2018-01-01 02:30:00,2.904,32.9,0.088228,0.000558,0.2329,287.0,,1.76e-05,-31.5957,,-47.36
2018-01-01 03:00:00,2.249,251.8,0.011516,0.000573,0.3504,287.0,,7.42e-06,12.8585,,-20.96
2018-01-01 03:30:00,2.853,118.5,0.024464,0.000581,0.345,287.0,,2.86e-05,-7.6952,,-42.97
2018-01-01 04:00:00,,,,,,,,,,,
2018-01-01 04:30:00,,,,,,,,,,,
2018-01-01 05:00:00,2.405,117.9,0.024587,0.000581,0.3317,286.0,,5.25e-06,4.9536,,-38.07
2018-01-01 05:30:00,2.063,141.6,0.020474,0.000574,0.3542,286.0,0.00473,4.24e-06,3.7934,-6.1082,-38.51
2018-01-01 06:00:00,2.231,100.2,0.028934,0.000568,0.3241,286.0,0.00481,1.87e-06,1.939,-8.0961,-41.93
2018-01-01 06:30:00,2.213,70.6,0.041054,0.000569,0.2836,286.0,0.00488,2.94e-06,4.0307,9.2796,-40.07
2018-01-01 07:00:00,2.587,320.3,0.009054,0.000567,0.385,287.0,0.00495,1.85e-06,-3.0484,23.5223,-22.23
2018-01-01 07:30:00,2.431,61.5,0.047169,0.000567,0.2634,287.0,0.00499,1.12e-06,-1.0643,-4.5767,-37.18
2018-01-01 08:00:00,1.925,47.9,0.060503,0.000568,0.1973,287.0,0.005,1.14e-06,0.3851,0.1342,-20.07
2018-01-01 08:30:00,1.746,12.0,0.240696,0.000569,0.1212,287.0,0.005,1.09e-06,-0.0452,-0.1878,-18.49
2018-01-01 09:00:00,1.469,52.7,0.054995,0.000574,0.181,287.0,0.005,3.25e-06,-0.0845,0.464,-14.08
2018-01-01 09:30:00,0.724,26.4,0.109705,0.000586,0.0835,287.0,0.00503,8.95e-06,-0.0565,-0.0826,-2.76
2018-01-01 10:00:00,0.637,68.5,0.042313,0.000584,0.1342,287.0,0.00509,7.14e-06,-1.3712,2.4346,-4.44
2018-01-01 10:30:00,0.283,71.5,0.040572,0.000586,0.1104,287.0,0.00519,4.44e-06,-2.464,2.0439,-2.39
2018-01-01 11:00:00,0.373,27.3,0.106142,0.000581,0.0746,287.0,0.00528,4.04e-06,0.3603,0.8949,-1.95
2018-01-01 11:30:00,1.122,90.0,0.032218,0.000577,0.1366,287.0,0.00556,3.04e-06,0.0694,5.0526,-3.72
2018-01-01 12:00:00,2.269,-533.3,-0.005438,0.000567,0.3413,288.0,0.00573,3.14e-06,2.0908,6.3608,9.94
2018-01-01 12:30:00,3.221,120.9,0.023986,0.000562,0.1599,288.0,0.00579,9.71e-07,0.1594,2.6892,-4.53
2018-01-01 13:00:00,3.384,-1966.8,-0.001474,0.000503,0.3798,287.0,,3.61e-05,-11.9285,,3.64
2018-01-01 13:30:00,2.805,3486.5,0.000832,0.000566,0.4588,287.0,,2.1e-05,129.1636,,-3.55
2018-01-01 14:00:00,3.379,-1989.6,-0.001458,0.000567,0.6275,286.0,,8.57e-06,19.1324,,15.94
2018-01-01 14:30:00,3.132,306.1,0.009475,0.00056,0.4442,287.0,0.00512,1.52e-06,-3.095,16.3212,-36.34
2018-01-01 15:00:00,2.572,441.3,0.006571,0.000562,0.2366,287.0,0.00513,8.97e-07,-0.4189,-7.2557,-3.81
2018-01-01 15:30:00,2.624,,,0.000562,0.4531,287.0,0.00508,1.25e-06,-5.0987,3.5058,
2018-01-01 16:00:00,3.035,93.0,0.031175,0.000565,0.3184,288.0,,9.12e-06,-10.451,,-44.07
2018-01-01 16:30:00,3.196,212.4,0.013653,0.000571,0.4482,288.0,,9.22e-06,-33.8685,,-54.09
2018-01-01 17:00:00,2.926,50.9,0.056977,0.000568,0.2918,288.0,0.00507,1.99e-06,0.8661,-20.1892,-61.66
2018-01-01 17:30:00,2.859,78.4,0.037013,0.000568,0.3586,288.0,0.0049,1.38e-06,0.1057,-11.3201,-73.39
2018-01-01 18:00:00,3.854,,,0.000566,0.5281,288.0,0.00474,1.12e-06,-2.276,2.6795,
2018-01-01 18:30:00,3.856,131.1,0.022122,0.000566,0.434,288.0,0.00466,1.19e-06,-1.8085,1.0411,-76.36
2018-01-01 19:00:00,3.74,298.4,0.009718,0.000566,0.6041,288.0,0.00474,1.08e-06,-2.1546,6.8142,-91.13
2018-01-01 19:30:00,3.841,,,0.000565,0.4327,288.0,0.00475,1.02e-06,-3.0481,1.7381,
2018-01-01 20:00:00,3.636,343.9,0.008433,0.000565,0.6336,288.0,0.00472,1.01e-06,-1.6386,-17.0032,-91.3
2018-01-01 20:30:00,3.613,150.8,0.019226,0.000565,0.4898,288.0,0.00469,1.16e-06,-1.791,-7.2058,-95.93
2018-01-01 21:00:00,3.334,229.6,0.012632,0.000566,0.5108,288.0,0.00466,1.21e-06,-2.3007,-2.451,-71.38
2018-01-01 21:30:00,4.005,,,0.000566,0.8766,288.0,0.00461,1.13e-06,-6.8488,1.8758,
2018-01-01 22:00:00,2.943,290.3,0.00999,0.000566,0.5901,288.0,0.0046,1.11e-06,-2.7162,-3.6236,-86.68
2018-01-01 22:30:00,2.95,276.8,0.010477,0.000566,0.5604,288.0,0.00454,1.06e-06,-0.814,0.314,-77.52
2018-01-01 23:00:00,2.93,108.8,0.026658,0.000567,0.4027,288.0,0.00452,1.07e-06,-0.4014,7.1819,-73.14
2018-01-01 23:30:00,2.802,96.9,0.029939,0.000567,0.3656,288.0,0.00442,1.2e-06,-1.0137,-1.9932,-60.96
2018-01-02 00:00:00,3.488,56.0,0.051769,0.000568,0.2687,287.0,0.00439,1.12e-06,-1.1905,0.5451,-41.81
2018-01-02 00:30:00,3.32,,,0.000568,0.3767,287.0,0.00445,1.39e-06,-8.5926,-7.3376,
2018-01-02 01:00:00,3.542,117.2,0.024739,0.000571,0.4381,287.0,0.00452,1.64e-06,-6.9164,-6.7136,-87.477
2018-01-02 01:30:00,2.926,173.7,0.016693,0.000573,0.4132,287.0,0.00457,1.17e-06,-0.4874,-2.3413,-49.7438
2018-01-02 02:00:00,2.612,107.9,0.026877,0.000573,0.312,287.0,0.00457,1.45e-06,0.2512,-4.0591,-34.4945
2018-01-02 02:30:00,2.342,36.7,0.07894,0.000574,0.2136,287.0,0.00451,1.49e-06,2.229,-2.7863,-32.3464
2018-01-02 03:00:00,2.565,57.2,0.050727,0.000573,0.2807,286.0,0.00447,1.37e-06,1.3983,-2.6618,-47.0504
2018-01-02 03:30:00,2.198,43.9,0.066123,0.000574,0.2203,286.0,0.00445,1.37e-06,3.5862,-4.5545,-29.5771
2018-01-02 04:00:00,0.785,-11.1,-0.260577,0.000576,0.0787,286.0,0.00441,1.92e-06,1.6441,-2.7215,5.2957
2018-01-02 04:30:00,0.977,18.2,0.158999,0.000581,0.0946,286.0,0.00438,3.56e-06,-0.0196,0.0135,-5.5964
2018-01-02 05:00:00,1.276,16.6,0.175179,0.000583,0.0943,286.0,0.00436,4.24e-06,-0.1136,0.4202,-6.1055
2018-01-02 05:30:00,1.624,15.1,0.192581,0.000584,0.1641,286.0,0.0044,7.05e-06,6.4866,-9.006,-35.4457
2018-01-02 06:00:00,1.947,25.4,0.114277,0.00059,0.2002,286.0,0.00452,5.22e-06,6.1658,-5.0897,-38.5922
2018-01-02 06:30:00,2.052,55.3,0.052434,0.00059,0.2608,286.0,0.00463,3.69e-06,0.2834,-5.6643,-39.4952
2018-01-02 07:00:00,1.791,134.0,0.021649,0.000584,0.3101,286.0,0.00462,4.43e-06,1.1872,3.2501,-27.3837
2018-01-02 07:30:00,1.47,42.4,0.068358,0.000585,0.1512,286.0,0.00456,2.95e-06,-1.4529,-0.455,-9.9676
2018-01-02 08:00:00,1.585,82.9,0.034993,0.000589,0.1845,286.0,0.0046,2.38e-06,-0.9525,1.0524,-9.2964
2018-01-02 08:30:00,1.023,121.3,0.023911,0.000595,0.1685,286.0,0.00466,5.26e-06,3.9636,3.6992,-4.8647
2018-01-02 09:00:00,1.288,133.8,0.021667,0.000592,0.2641,286.0,0.0048,2.43e-06,0.9694,-9.1811,-17.1745
2018-01-02 09:30:00,0.667,4112.1,0.000705,0.000614,0.1465,286.0,,4.37e-05,-11.925,,-0.0963
2018-01-02 10:00:00,,,,,,,,,,,
2018-01-02 10:30:00,,,,,,,,,,,
2018-01-02 11:00:00,,,,,,,,,,,
2018-01-02 11:30:00,,,,,,,,,,,
2018-01-02 12:00:00,,,,,,,,,,,
2018-01-02 12:30:00,,,,,,,,,,,
2018-01-02 13:00:00,,,,,,,,,,,
2018-01-02 13:30:00,,,,,,,,,,,
2018-01-02 14:00:00,,,,,,,,,,,
2018-01-02 14:30:00,2.526,159.3,0.018204,0.000667,0.2997,285.0,,4.21e-06,100.1981,,-27.2296
2018-01-02 15:00:00,2.658,239.9,0.01209,0.000655,0.3329,286.0,0.00747,5.18e-06,0.5842,29.6786,-24.7742
