TimeStamp,L,C_CO2,ustar,nSamples,sd_C_CO2,F_CO2,Q_E,Q_H
timestamp,m,mmol.m-3,m.s-1,samples/interval,mmol.m-3,umol.m-2.s-1,W.m-2,W.m-2
2018-01-10 00:30:00,69.64,0.000596,0.1694,18000.0,1.32e-05,-16.193,,-10.2751
2018-01-10 01:00:00,228.611,0.000584,0.2389,18000.0,9.96e-06,-3.949,,-8.8261
2018-01-10 01:30:00,-436.968,0.000585,0.2719,18000.0,1.07e-05,-43.061,,6.8205
2018-01-10 02:00:00,36.574,0.000848,0.2521,18000.0,2.03e-05,143.911,,-65.1174
2018-01-10 02:30:00,603.227,0.000888,0.2026,18000.0,1.3e-05,-0.847,,-2.0574
2018-01-10 03:00:00,117.455,0.001073,0.095,18000.0,1.53e-05,-9.893,,-1.0873
2018-01-10 03:30:00,,,,18000.0,,,,
2018-01-10 04:00:00,,,,18000.0,,,,
2018-01-10 04:30:00,294.411,0.000976,0.3665,18000.0,9.2e-06,-29.332,,-24.9332
2018-01-10 05:00:00,100.799,0.001214,0.2726,18000.0,4.97e-05,91.667,,-28.6593
2018-01-10 05:30:00,52.725,,0.2103,18000.0,,,,-24.763
2018-01-10 06:00:00,54.833,0.000579,0.2029,18000.0,1.4e-05,-3.488,,-21.1717
2018-01-10 06:30:00,124.462,0.000568,0.2022,18000.0,1.93e-06,-0.166,0.267,-9.2303
2018-01-10 07:00:00,229.737,0.00057,0.2452,18000.0,1.81e-06,1.345,-5.143,-9.0029
2018-01-10 07:30:00,25.156,0.000573,0.1916,18000.0,2.88e-06,-3.478,,-38.461
2018-01-10 08:00:00,247.742,0.000573,0.2302,18000.0,4.44e-06,3.558,,-6.7162
2018-01-10 08:30:00,78.558,0.000577,0.2163,18000.0,3.73e-06,2.725,,-17.4441
2018-01-10 09:00:00,21.385,0.00058,0.1588,18000.0,2.26e-06,1.655,-11.221,-25.1143
2018-01-10 09:30:00,4.172,0.000582,0.1095,18000.0,2.47e-06,4.045,,-42.2307
2018-01-10 10:00:00,39.734,0.00057,0.184,18000.0,5.15e-06,-4.257,,-21.2305
2018-01-10 10:30:00,-84.984,0.000564,0.2225,18000.0,1.58e-06,-2.359,18.344,17.7509
2018-01-10 11:00:00,-55.928,0.000562,0.1857,18000.0,1.98e-06,-4.708,8.169,15.669
2018-01-10 11:30:00,28.465,0.000562,0.149,18000.0,3.57e-06,-7.348,10.704,-16.028
2018-01-10 12:00:00,-143.101,0.000559,0.1693,18000.0,3e-06,-6.233,13.562,4.6284
2018-01-10 12:30:00,-5.416,0.000559,0.1292,18000.0,4.52e-06,-4.695,-0.745,54.5626
2018-01-10 13:00:00,-10.965,0.000555,0.1143,18000.0,2.57e-06,-3.717,11.303,18.7295
2018-01-10 13:30:00,-32.416,0.000556,0.1733,18000.0,3.99e-06,-7.371,23.288,22.213
2018-01-10 14:00:00,-144.263,0.000556,0.2751,18000.0,2.49e-06,-6.096,13.157,19.7871
2018-01-10 14:30:00,22.207,0.000559,0.1495,18000.0,2.99e-06,-2.793,11.724,-20.3697
2018-01-10 15:00:00,22.278,0.000563,0.1303,18000.0,2.33e-06,-1.263,-4.171,-13.307
2018-01-10 15:30:00,19.367,0.000566,0.0511,18000.0,2.67e-06,-0.591,-2.659,-0.9321
2018-01-10 16:00:00,-5.851,0.000579,0.0861,18000.0,4.97e-06,3.67,,14.5665
2018-01-10 16:30:00,13.323,0.000601,0.0469,18000.0,1.08e-05,0.604,,-1.0165
2018-01-10 17:00:00,86.756,0.000612,0.0359,18000.0,1.7e-05,1.326,,-0.0685
2018-01-10 17:30:00,105.516,0.000611,0.0518,18000.0,1.17e-05,2.942,,-0.1688
2018-01-10 18:00:00,-4.733,,0.0496,18000.0,,,,3.286
2018-01-10 18:30:00,-92.643,0.00066,0.0635,18000.0,1.18e-05,-4.138,,0.3475
2018-01-10 19:00:00,-311.53,0.000684,0.0572,18000.0,2.19e-05,0.258,,0.0745
2018-01-10 19:30:00,3.157,0.000687,0.0268,18000.0,2.23e-05,0.444,,-0.7579
2018-01-10 20:00:00,6.194,0.000775,0.0345,18000.0,5.9e-05,-4.478,,-0.819
2018-01-10 20:30:00,7.36,0.000833,0.0404,18000.0,2.13e-05,3.904,,-1.1039
2018-01-10 21:00:00,4.53,0.000854,0.0516,18000.0,1.39e-05,1.132,,-3.7431
2018-01-10 21:30:00,-4.557,0.000876,0.0337,18000.0,3.1e-05,0.934,,1.0224
2018-01-10 22:00:00,-7.374,,0.056,18000.0,,,,2.8702
2018-01-10 22:30:00,-0.524,,0.0213,18000.0,,,,2.1941
2018-01-10 23:00:00,8.284,,0.0403,18000.0,,,,-0.9427
2018-01-10 23:30:00,42.169,,0.1459,18000.0,,,,-8.7266
2018-01-11 00:00:00,17.473,,0.0911,17999.0,,,,-5.1421
