TimeStamp,L,C_CO2,ustar,nSamples,sd_C_CO2,F_CO2,Q_E,Q_H
timestamp,m,mmol.m-3,m.s-1,samples/interval,mmol.m-3,umol.m-2.s-1,W.m-2,W.m-2
2018-10-10 00:30:00,,,,0.0,,,,
2018-10-10 01:00:00,,,,0.0,,,,
2018-10-10 01:30:00,-2.51,0.000707,0.0412,18000.0,7.21e-06,-2.603,,4.432
2018-10-10 02:00:00,6.07,0.000707,0.0301,18000.0,1.06e-05,2.555,,-0.699
2018-10-10 02:30:00,24.28,0.000739,0.0818,18000.0,9.58e-06,-2.004,,-3.587
2018-10-10 03:00:00,6.81,0.000748,0.051,18000.0,2.89e-06,0.504,-7.661,-3.084
2018-10-10 03:30:00,-119.4,0.000756,0.0926,18000.0,7.06e-06,-1.618,,1.047
2018-10-10 04:00:00,16.35,0.000768,0.0931,18000.0,4.51e-06,1.671,0.083,-7.748
2018-10-10 04:30:00,9.58,0.000768,0.0616,18000.0,1.19e-05,1.366,,-3.783
2018-10-10 05:00:00,30.24,0.000761,0.1112,18000.0,7.72e-06,-4.328,,-7.079
2018-10-10 05:30:00,14.74,0.000771,0.0739,18000.0,6.13e-06,2.065,,-4.289
2018-10-10 06:00:00,98.72,0.000778,0.1796,18000.0,5.45e-06,3.445,,-9.323
2018-10-10 06:30:00,698.51,0.000789,0.1739,18000.0,7.24e-06,-10.658,,-1.197
2018-10-10 07:00:00,12.16,0.00081,0.1338,18000.0,1.79e-05,-17.442,,-31.423
2018-10-10 07:30:00,143.72,0.000868,0.15,18000.0,1.72e-05,3.691,,-3.862
2018-10-10 08:00:00,-70.82,0.000868,0.1938,18000.0,5.84e-05,-21.154,,17.869
2018-10-10 08:30:00,-78.23,0.000674,0.2127,18000.0,1.08e-05,-3.087,,22.655
2018-10-10 09:00:00,-185.41,0.000659,0.3684,18000.0,4.97e-06,7.251,-44.849,52.829
2018-10-10 09:30:00,-116.12,0.000645,0.2676,18000.0,3.49e-06,-4.611,29.932,33.281
2018-10-10 10:00:00,-80.47,0.000633,0.2605,18000.0,4.59e-06,-8.552,61.992,46.592
2018-10-10 10:30:00,-115.64,0.000605,0.301,18000.0,1.44e-05,-11.309,48.729,51.626
2018-10-10 11:00:00,-112.36,0.000586,0.3372,18000.0,3.77e-06,-5.196,72.752,74.344
2018-10-10 11:30:00,-170.32,0.000576,0.4389,18000.0,2.45e-06,-8.934,40.781,106.209
2018-10-10 12:00:00,-150.14,0.000569,0.3704,18000.0,7.19e-06,7.546,,69.07
2018-10-10 12:30:00,-103.59,0.000557,0.3417,18000.0,2.9e-06,5.725,46.704,75.918
2018-10-10 13:00:00,-23.51,0.000555,0.1963,18000.0,1.64e-06,-7.154,90.85,63.742
2018-10-10 13:30:00,-44.4,0.000554,0.2269,18000.0,1.27e-06,-3.77,52.878,52.162
2018-10-10 14:00:00,-125.38,0.000555,0.3488,18000.0,1.34e-06,-3.457,53.732,68.333
2018-10-10 14:30:00,,,,0.0,,,,
2018-10-10 15:00:00,,,,0.0,,,,
2018-10-10 15:30:00,,,,0.0,,,,
2018-10-10 16:00:00,,,,0.0,,,,
2018-10-10 16:30:00,,,,0.0,,,,
2018-10-10 17:00:00,,,,0.0,,,,
2018-10-10 17:30:00,199.84,0.000595,0.2456,18000.0,5.31e-06,11.117,-1.52,-15.355
2018-10-10 18:00:00,294.4,0.000606,0.3009,18000.0,2.72e-06,-2.975,6.397,-19.13
2018-10-10 18:30:00,95.71,0.000613,0.2172,18000.0,1.68e-06,1.896,-2.616,-22.205
2018-10-10 19:00:00,230.37,0.000614,0.3279,18000.0,1.73e-06,4.527,-8.793,-32.058
2018-10-10 19:30:00,89.08,0.000618,0.1953,18000.0,2.66e-06,4.28,-11.695,-17.632
2018-10-10 20:00:00,116.06,0.000623,0.2112,18000.0,2.07e-06,1.492,-4.461,-17.162
2018-10-10 20:30:00,103.94,0.000624,0.2134,18000.0,1.66e-06,2.809,-12.0,-19.769
2018-10-10 21:00:00,159.58,0.000622,0.234,18000.0,3.22e-06,2.351,-4.38,-16.957
2018-10-10 21:30:00,305.37,0.000621,0.2162,18000.0,2.2e-06,1.512,-1.918,-7.027
2018-10-10 22:00:00,500.48,0.000624,0.2576,18000.0,1.73e-06,-0.347,0.165,-7.227
2018-10-10 22:30:00,147.78,0.000618,0.2074,18000.0,1.82e-06,1.436,0.556,-12.883
2018-10-10 23:00:00,68.56,0.000618,0.149,18000.0,3.78e-06,1.451,3.99,-10.187
2018-10-10 23:30:00,54.92,0.000605,0.1436,18000.0,7.82e-06,3.702,-4.318,-11.408
2018-10-11 00:00:00,88.02,0.000597,0.1261,17999.0,2.66e-06,1.6,0.879,-4.787
